transaction_id,customer_id,transaction_datetime,country,channel,merchant_category,amount,device_trust_score,num_txn_24h_customer,previous_chargeback_count,is_fraud,transaction_note
1,1119,2022-04-21T21:41:41,AU,mobile_app,gaming,547.24,78,3,3,0,VPN suspected
2,1166,2022-01-31T02:59:48,JP,web,luxury,1069.52,17,0,2,0,overnight shipping
3,1142,2024-09-23T04:12:18,CN,web,travel,305.73,16,4,1,0,
4,1060,2024-04-06T03:56:36,SG,pos_terminal,electronics,2096.71,76,2,2,0,high value item
5,1018,2022-01-20T14:39:36,US,pos_terminal,groceries,663.15,18,2,3,0,first time merchant
6,1170,2023-09-06T21:06:56,CN,web,electronics,778.08,36,1,2,0,
7,1011,2022-01-08T10:49:08,US,mobile_app,groceries,2758.85,11,5,0,0,new device
8,1010,2024-01-03T06:43:15,MY,mobile_app,travel,2032.48,29,1,1,1,high value item
9,1171,2023-05-24T08:10:50,JP,mobile_app,electronics,1112.95,68,6,1,0,VPN suspected
10,1071,2023-12-21T20:32:25,AU,pos_terminal,gaming,577.59,32,2,3,0,VPN suspected
11,1147,2023-01-25T08:02:45,JP,pos_terminal,travel,4701.38,35,0,2,0,repeat purchase
12,1104,2023-10-31T12:44:18,US,web,luxury,1896.35,32,2,0,0,
13,1113,2023-03-14T16:30:50,SG,pos_terminal,electronics,3319.61,21,6,2,0,repeat purchase
14,1018,2024-07-21T13:56:40,JP,pos_terminal,luxury,1220.68,10,6,0,0,
15,1063,2022-09-06T14:08:51,JP,pos_terminal,travel,4750.25,88,4,3,0,VPN suspected
16,1070,2024-12-03T15:40:15,MY,web,gaming,1679.9,20,1,1,0,VPN suspected
17,1107,2024-03-08T18:44:01,US,pos_terminal,NA,4713.77,59,6,1,0,VPN suspected
18,1042,2024-08-15T04:39:34,CN,mobile_app,travel,136.48,27,1,3,0,overnight shipping
19,1107,2023-06-01T02:30:01,US,web,gaming,344.02,15,1,0,0,VPN suspected
20,1179,2023-06-09T11:10:38,UK,pos_terminal,electronics,819.67,84,2,3,0,repeat purchase
21,1178,2023-09-10T21:38:51,UK,pos_terminal,electronics,2142.46,74,0,3,0,high value item
22,1045,2024-12-04T20:17:39,CN,pos_terminal,luxury,4128.85,51,6,2,0,VPN suspected
23,1126,2023-10-28T05:31:13,AU,mobile_app,gaming,2981.18,81,1,3,0,high value item
24,1004,2022-07-10T09:14:25,CN,mobile_app,travel,2767.81,80,5,2,0,new device
25,1176,2023-01-15T06:13:47,UK,pos_terminal,travel,2623.66,22,2,1,0,new device
26,1178,2022-09-16T20:55:48,UK,web,travel,2394.09,16,6,0,1,high value item
27,1077,2022-06-24T07:07:35,CN,pos_terminal,travel,1129.21,67,2,3,0,first time merchant
28,1160,2023-03-09T08:42:05,US,web,travel,14.38,86,0,2,0,high value item
29,1150,2023-02-10T13:07:34,CN,web,gaming,357.98,49,6,2,0,overnight shipping
30,1126,2024-06-15T02:38:02,AU,pos_terminal,gaming,130.3,83,0,2,0,new device
31,1046,2024-06-11T20:52:31,JP,mobile_app,luxury,3351.0,52,3,3,0,VPN suspected
32,1103,2024-11-19T00:42:55,MY,mobile_app,electronics,1809.54,N/A,0,1,0,high value item
33,1061,2022-11-21T09:35:00,CN,web,groceries,4564.74,25,1,2,0,
34,1037,2024-02-25T06:58:38,US,web,electronics,3950.24,74,0,2,0,high value item
35,1088,2023-11-12T17:48:34,AU,mobile_app,groceries,1194.79,62,5,3,0,
36,1032,2024-10-25T18:21:55,AU,mobile_app,electronics,2285.18,62,1,2,0,high value item
37,1136,2024-02-18T10:40:45,SG,mobile_app,travel,343.04,46,5,0,0,repeat purchase
38,1011,2023-10-27T01:18:22,US,web,groceries,2830.07,31,4,1,0,new device
39,1002,2024-08-10T09:43:34,DE,mobile_app,gaming,1496.47,42,2,3,0,VPN suspected
40,1075,2022-02-14T21:25:17,CN,pos_terminal,electronics,3726.12,46,1,2,0,overnight shipping
41,1035,2022-07-18T20:41:02,MY,mobile_app,electronics,3662.07,47,3,1,0,overnight shipping
42,1065,2024-09-13T09:47:55,DE,web,luxury,704.64,60,6,0,1,first time merchant
43,1067,2024-02-20T20:23:06,AU,mobile_app,electronics,4715.9,88,0,3,0,NA
44,1029,2022-07-19T07:56:34,US,mobile_app,gaming,3715.96,63,5,3,0,NA
45,1055,2024-06-27T14:15:54,AU,pos_terminal,gaming,4889.23,NA,0,3,0,high value item
46,1032,2023-02-25T02:53:48,AU,pos_terminal,,1165.76,-5,1,1,0,NA
47,1013,2022-09-17T23:26:33,CN,web,luxury,1810.83,67,4,2,0,repeat purchase
48,1027,2024-10-01T22:58:28,AU,web,gaming,329.35,91,5,2,0,repeat purchase
49,1141,2023-03-17T13:28:56,CN,mobile_app,luxury,3648.33,50,2,3,0,repeat purchase
50,1033,2022-05-03T18:35:35,AU,web,luxury,3327.04,16,4,0,0,high value item
51,1142,2024-01-23T03:48:17,CN,mobile_app,travel,4092.32,92,4,6,0,overnight shipping
52,1036,2024-03-31T02:09:47,JP,web,electronics,1076.45,53,2,0,0,
53,1169,2024-05-18T15:38:28,JP,web,travel,2150.14,85,5,1,0,repeat purchase
54,1065,2023-08-16T10:07:00,DE,mobile_app,groceries,2663.38,81,6,3,1,repeat purchase
55,1109,2024-04-08T22:40:26,UK,mobile_app,electronics,860.19,68,2,0,0,first time merchant
56,1056,2023-11-14T05:04:32,AU,pos_terminal,travel,3881.36,92,1,2,0,
57,1160,2024-10-08T14:48:36,US,mobile_app,travel,4932.67,90,3,3,0,first time merchant
58,1115,2022-03-19T01:23:53,US,pos_terminal,electronics,2535.83,80,5,3,0,new device
59,1015,2024-07-11T03:51:57,CN,pos_terminal,electronics,863.62,66,4,1,0,VPN suspected
60,1161,2023-11-17T02:21:06,MY,mobile_app,gaming,4257.98,87,2,1,0,high value item
61,1021,2023-09-27T17:24:41,SG,web,travel,3352.61,12,1,2,0,new device
62,1025,2024-11-05T17:53:47,SG,web,gaming,3090.54,29,6,1,1,overnight shipping
63,1072,2024-07-08T07:34:15,UK,mobile_app,groceries,4735.7,69,6,3,0,
64,1123,2024-01-31T17:59:06,JP,pos_terminal,electronics,3815.82,75,3,1,0,repeat purchase
65,1098,2022-06-17T11:14:01,US,web,,688.86,70,1,3,1,repeat purchase
66,1155,2024-12-16T13:07:49,CN,mobile_app,electronics,2099.71,68,6,0,0,high value item
67,1061,2024-05-03T05:42:42,CN,mobile_app,electronics,2720.87,74,3,0,0,overnight shipping
68,1061,2022-08-01T18:47:48,CN,web,,4067.73,69,3,1,0,VPN suspected
69,1010,2023-10-09T09:32:25,JP,mobile_app,electronics,956.33,16,2,2,0,VPN suspected
70,1127,2024-10-15T11:59:51,DE,web,luxury,3012.66,79,0,2,0,VPN suspected
71,1090,2024-06-09T08:40:50,US,pos_terminal,luxury,4005.68,13,4,4,0,high value item
72,1154,2022-11-11T21:28:23,CN,web,travel,1835.38,45,0,1,0,first time merchant
73,1054,2023-08-08T22:58:31,SG,web,electronics,4493.5,21,6,2,0,overnight shipping
74,1179,2022-12-23T11:32:14,UK,web,groceries,2470.62,83,6,1,0,overnight shipping
75,1105,2024-04-18T18:04:08,US,mobile_app,luxury,1723.23,80,1,1,0,repeat purchase
76,1041,2023-10-23T22:14:22,DE,web,gaming,4781.8,90,4,1,0,new device
77,1144,2022-03-26T00:05:02,DE,pos_terminal,groceries,2083.52,73,4,2,0,high value item
78,1040,2024-06-19T13:30:29,DE,pos_terminal,groceries,3592.1,54,1,0,0,overnight shipping
79,1098,2024-05-06T07:55:57,US,mobile_app,travel,949.98,75,2,0,0,new device
80,1126,2024-08-21T09:34:00,AU,mobile_app,groceries,3637.81,56,0,1,0,VPN suspected
81,1159,2022-09-01T04:06:25,CN,mobile_app,travel,3775.07,75,0,1,0,first time merchant
82,1083,2023-10-15T05:25:39,SG,mobile_app,travel,4141.62,82,6,2,0,first time merchant
83,1161,2022-02-24T19:30:16,CN,pos_terminal,electronics,853.39,89,3,9,0,repeat purchase
84,1052,2024-04-20T16:49:39,MY,pos_terminal,groceries,2804.87,71,2,3,0,overnight shipping
85,1177,2023-06-26T19:30:12,DE,pos_terminal,gaming,4864.58,46,5,2,0,
86,1139,2024-02-17T12:52:22,SG,mobile_app,electronics,3570.99,66,5,1,0,first time merchant
