feature,importance
device_trust_score,0.2362284795611719
amount,0.18291837838342206
txn_hour,0.10052755183978469
merchant_category_electronics,0.0965314025355946
country_DE,0.08266127651458302
amount_z_customer,0.08036128670969599
country_CN,0.06310831626755889
merchant_category_luxury,0.05704887892520306
channel_web,0.05633473407889395
txn_dayofweek,0.03845530401162909
txn_hour_count,0.0058243911724627515
low_device_trust,2.1108734697175243e-17
merchant_category_travel,0.0
channel_mobile_app,0.0
channel_pos_terminal,0.0
num_txn_24h_customer,0.0
merchant_category_gaming,0.0
merchant_category_groceries,0.0
txn_week,0.0
country_UK,0.0
slm_urgency_high,0.0
slm_urgency_low,0.0
slm_urgency_medium,0.0
slm_anomaly_category_fraud,0.0
slm_anomaly_category_normal,0.0
slm_anomaly_category_suspicious,0.0
country_US,0.0
country_MY,0.0
country_SG,0.0
is_weekend,0.0
country_JP,0.0
previous_chargeback_count,0.0
slm_risk_score,0.0
country_AU,0.0
urgency_numeric,0.0
composite_risk_score,0.0
high_amount_z,0.0
is_risky_country,0.0
customer_std_amount,0.0
customer_mean_amount,0.0
txn_dayofweek_count,0.0
txn_gap_minutes,0.0
is_night,0.0
slm_anomaly_category_unknown,0.0
