feature,importance
txn_gap_minutes,0.12064389183361532
customer_std_amount,0.11468309614616537
txn_week,0.09417171183403933
device_trust_score,0.07636201286487929
txn_hour,0.06920889169838193
amount,0.0663713742742281
composite_risk_score,0.05950203276475454
amount_z_customer,0.055106303042892914
customer_mean_amount,0.05194078103546803
txn_dayofweek_count,0.0513889096091683
num_txn_24h_customer,0.04649944462986055
merchant_category_travel,0.027476944554008505
previous_chargeback_count,0.0257673838625749
txn_hour_count,0.02447851530640661
is_weekend,0.02432741336007077
merchant_category_luxury,0.01806126143399194
country_JP,0.01459644801604246
country_MY,0.01443604748839366
merchant_category_gaming,0.013901379062897587
country_US,0.009122780010026539
country_DE,0.007989343705750482
merchant_category_groceries,0.007187111173220278
txn_dayofweek,0.006776922293162581
channel_web,0.0
slm_anomaly_category_fraud,0.0
slm_urgency_medium,0.0
slm_urgency_low,0.0
slm_anomaly_category_normal,0.0
slm_urgency_high,0.0
slm_anomaly_category_suspicious,0.0
merchant_category_electronics,0.0
country_CN,0.0
channel_pos_terminal,0.0
channel_mobile_app,0.0
country_UK,0.0
country_SG,0.0
country_AU,0.0
urgency_numeric,0.0
high_amount_z,0.0
low_device_trust,0.0
is_risky_country,0.0
is_night,0.0
slm_risk_score,0.0
slm_anomaly_category_unknown,0.0
