model,accuracy,precision,recall,f1,roc_auc,pr_auc,model_group
DecisionTree_baseline,0.8708333333333333,0.0588235294117647,0.0625,0.0606060606060606,0.4955357142857143,0.0661764705882353,decision_tree
DecisionTree_tuned,0.5791666666666667,0.0526315789473684,0.3125,0.09009009009009,0.4627511160714286,0.062367497199683,decision_tree
LogisticRegression,0.6333333333333333,0.0813953488372093,0.4375,0.1372549019607843,0.5446428571428572,0.0936295507263736,logistic_regression
LogisticRegressionTuned,0.6416666666666667,0.0930232558139534,0.5,0.1568627450980392,0.5387834821428571,0.0766131837783583,logistic_regression
kNN_baseline,0.8791666666666667,0.0666666666666666,0.0625,0.064516129032258,0.5,0.0666666666666666,knn
kNN_tuned,0.9333333333333332,0.0,0.0,0.0,0.4875837053571428,0.0788358002884596,knn
NaiveBayes_baseline,0.825,0.0357142857142857,0.0625,0.0454545454545454,0.47265625,0.0676349825660981,naive_bayes
NaiveBayes_tuned,0.65,0.075,0.375,0.125,0.47265625,0.0676349825660981,naive_bayes
XGBoost_baseline,0.9125,0.0,0.0,0.0,0.5789620535714286,0.0835272153966999,xgboost
XGBoost_tuned,0.9083333333333332,0.125,0.0625,0.0833333333333333,0.546875,0.0937354819876069,xgboost
