feature,importance
is_night,0.30700186
is_weekend,0.14369337
channel,0.12376245
urgency_numeric,0.043453466
slm_urgency,0.0419993
is_risky_country,0.039245203
slm_risk_score,0.03501001
country,0.028020075
composite_risk_score,0.02776162
low_device_trust,0.024876853
slm_anomaly_category,0.019560557
txn_dayofweek_count,0.018593214
device_trust_score,0.01841479
num_txn_24h_customer,0.015647057
txn_gap_minutes,0.013670363
merchant_category,0.012322731
amount,0.011669484
txn_hour,0.011125325
customer_std_amount,0.010443067
amount_z_customer,0.009895374
previous_chargeback_count,0.009503912
customer_mean_amount,0.009217932
txn_week,0.009186703
txn_dayofweek,0.008953767
txn_hour_count,0.0069714673
high_amount_z,0.0
